module	note_word	frozen_word	taught_in	kind	context
m78	디자이너	모델	m72	own-claim	onglish. The designer: 패션 디자이너 (패션 riding frozen — M72's 모델 note ran it the same way: '패션 모델 — 패션 riding frozen'), 게임 디자이너 (on M8's 게임), 디자이너 브랜드 on t
m79	패션	모델	m72	own-claim	id three times at once: the 잡지 note (M48) ran '패션 잡지, 시사 잡지', the 모델 note (M72) filed '패션 모델 — 패션 riding frozen', and the 디자이너 note (M78) ran '패션 디자이너
m81	고급	레스토랑	m79	own-claim	(a rating), 초급 and 중급 (beginner, intermediate — all frozen). High on the ladder: 고급 레스토랑 (레스토랑 riding frozen — it belongs to the loanword shelf), 고급 한
m82	오리	내밀다	m61	own-claim	 마리. 오리발 (with M14's 발: the duck's foot) is the swimmer's flipper, and the idiom 오리발 내밀다 (내밀다 — to stick out, riding frozen) = to hold out a duck's fo
m83	도자기	조선	m26	own-claim	Goryeo celadon, the grey-green glaze — riding frozen) and 조선백자 (white porcelain, on M26's 조선 — riding frozen) are the two dynasties' signatures, and t
m83	수화기	세수	m37	own-claim	ma slam-down. Radar: 수화 without the 기 is sign language (hand-talk, on the hand-手 of M37's 세수 — riding frozen). Shelf rule: no motor inside, so the ves
m83	지하도	큰길	m82	own-claim	 the same 道 that ends the provinces M31 mapped: the underpass — how you cross a big road (큰길 — the parallel M82 word, riding frozen) when the 횡단보도 (M2
m83	향수	고향	m27	own-claim	e elevator complains about. Radar, one clause: a homograph 향수 (鄕愁, on the home-鄕 of M27's 고향 — riding frozen) is homesickness, and 향수병 with M14's 병 is
m86	영향	노력	m39	own-claim	 좋은/나쁜 영향 (M1's 좋다, M29's 나쁘다), 큰 영향 (M1's 크다); 영향력 = clout, with the strength-力 of M39's 노력 riding frozen on the end. RADAR: M2's 영화 hides a differen
m86	요구	받아들이다	m56	own-claim	다 insists, 강조하다 underlines, 요구하다 sends the bill"). The bill itself, as a noun: 요구를 받아들이다 (받아들이다 — to accept, riding frozen) = to meet a demand, 요구 사항 
m86	원인	밝히다	m56	own-claim	t is the fruit your efforts tied off"): 원인과 결과 = cause and effect, on M30's 와/과. 원인을 밝히다 (밝히다 — to bring to light, riding frozen) is the headline's ve
m88	갖추다	예의	m26	own-claim	g tail that turns 낮다 into 낮추다 (M37). 갖출 것을 갖추다 = to have what one ought to have; 예의를 갖추다 (예의 — courtesy, riding frozen) = to observe the proprieties, 
m88	유지하다	체중	m41	own-claim	nship going; 질서를 유지하다 (M57's 질서) = to keep order — the police statement's verb; 체중을 유지하다 (체중 — body weight, riding frozen) = to hold one's weight, the
m90	민간	단체	m23	own-claim	es among the people — everything that is NOT the state: 민간 기업 (a private company), 민간 단체 (단체 — an organization, riding frozen), 민간인 (a civilian — the 
m90	위원	회의	m10	own-claim	3's 사원 — a member entrusted with a task. The committee itself is 위원회 (with the 會 of M10's 회의 — riding frozen): 선거 관리 위원회 (this shelf's 선거 + M57's 관리) 
m90	통제	출입	m52	own-claim	om above: 통제하다 (the 하다 rides free), 교통 통제 (M12's 교통 — a road closed for a parade), 출입 통제 (출입 — coming and going, riding frozen: keep out), 언론 통제 (M48'
m91	구성	사원	m43	own-claim	. What a thing is made up of: 가족 구성 (M4's 가족) = family makeup, 구성원 (the member-員 of M43's 사원 — 구성원 riding frozen) = a member of a group, 이야기의 구성 (M24'
m91	구성하다	회의	m10	own-claim	e whole out of the parts — 전문가들로 위원회를 구성했어요 (M58's 전문가, the 위원 of M90 with the 회 of M10's 회의 — 위원회 riding frozen as the committee) = formed a committe
m91	방식	사고	m36	own-claim	g done; 방식 is the STYLE it is habitually done in — 생활 방식 (M29's 생활) = a lifestyle, 사고 방식 (사고 — thinking, 思考, riding frozen; RADAR: not M36's 사고, the a
m91	작업	공동	m81	own-claim	e busy-sign machine) = work in progress, 작업실 (the room-실 of M16's 사무실) = a studio, 공동 작업 (공동 — joint, riding frozen) = collaboration, 작업을 시작하다/끝내다 (M8
m91	전개	논리	m87	own-claim	cing — the drama review's highest praise — 사건 전개 (M36's 사건) = how events unfolded, 논리 전개 (논리 — logic, riding frozen) = the line of argument. 전개하다/전개되다
m92	태아	나이	m4	own-claim	 listens for. Korea's old habit of counting M4's 나이 from conception rather than birth (세는 나이 — the counted age, riding frozen) began with this word: t
m92	하천	넘치다	m74	own-claim	rd on the sign and in the flood report: 하천 정비 (정비 — maintenance, riding frozen), 하천이 넘치다 (넘치다 — to overflow, riding frozen). M22's 강 is the river you 
m93	거부하다	명령	m64	own-claim	mple M33's 거절하다 gave), 거부하다 refuses a DEMAND or an order — 요구를 거부하다 (M86's 요구), 명령을 거부하다 (명령 — an order, riding frozen), 대답을 거부했어요 = declined to answe
m93	반영하다	현실	m92	own-claim	을 반영하다 (M24's 의견) = to reflect opinions in a decision, the committee's promise; 현실을 반영하다 (현실 — reality, riding frozen) = to reflect reality; 요구를 반영한 계
m93	주장	펴다	m60	own-claim	ed"). A claim is a position stretched out and stood on. 주장을 하다 = to make a claim; 주장을 펴다 (펴다 — to spread, riding frozen) = to lay out an argument; 그 주
m94	둘러싸다	싸다	m7	own-claim	두르다 in its 르-coat, 둘러 (around), + 싸다 — to wrap (riding frozen: the 싸다 that wraps M3's 김밥, and 
m97	건설하다	도로	m38	own-claim	 아파트를 건설하다 (M13's 아파트). The 되다 twin rides free and is what the sign says: 새 도로가 건설되고 있어요 (도로 — a road, riding frozen) = a new road is under constructi
m97	농민	단체	m23	own-claim	s — the word that protests, gets subsidies, and ages: 농민들 (M27's 들) = the farmers; 농민 단체 (단체 — an organization, riding frozen). Calibrate: 농부 (a farme
m99	화학	물질	m92	quoted	b's"), M86's 반응 ("화학 반응 (화학 — chemistry, riding frozen) is the lab's"), and M92's 물질 ("화학 물질 — 화학, chemistry, riding frozen"); M97's 조미료 even used it 
m100	논쟁	거리	m27	own-claim	eaks out, 논쟁을 벌이다 (M56's 벌이다) = to wage one, 뜨거운 논쟁 (M18's 뜨겁다) = a heated dispute, 논쟁거리 (거리 — the stuff-suffix, riding frozen) = a bone of contention
m100	의무	권리	m90	own-claim	교육 (M32's 교육) = compulsory schooling, 의무적으로 (-적 from M45 + 으로) = compulsorily. PAYS M90's 권리 — that note: "Its twin is 의무 (duty — riding frozen): 권리와 
m100	지지	적극	m81	own-claim	l rating, the number under every politician's name; 지지하다 (frozen) is the verb. PAYS M81's 적극 — that note filed "적극 지지 (지지 — support, riding frozen)"; 
m101	기법	촬영	m48	own-claim	ue. 표현 기법 (M33's 표현) = a technique of expression, the literature teacher's phrase; 촬영 기법 (촬영 riding frozen) = a filming technique; 새로운 기법 (M35's 새롭다).
m101	대출	주택	m81	own-claim	to-duty"): money lent out. The bank's word: 대출을 받다 (M9's 받다) = to take out a loan, 주택 대출 (주택 — housing, riding frozen) = a mortgage, 학자금 대출 (학자금 ridin
m101	인격	훌륭하다	m63	own-claim	 — insult, riding frozen) = an attack on one's dignity, the courtroom's phrase, 인격이 훌륭하다 (훌륭하다 — riding frozen). Sort the two 格 words: M19's 성격 is per
m101	장비	촬영	m48	own-claim	산 장비 (M17's 등산) = hiking gear, the aisle that note said was "Full gear mandatory"; 촬영 장비 (촬영 — filming, riding frozen); 장비를 갖추다 (M88's 갖추다, whose note
m101	텍스트	복사	m75	own-claim	he TEXT of a document, on a screen or a page: 텍스트 파일 (M79's 파일) = a text file, 텍스트를 복사하다 (복사 — copy, riding frozen) = copy the text, 이미지와 텍스트 (이미지 rid
m101	텍스트	이미지	m45	own-claim	(M79's 파일) = a text file, 텍스트를 복사하다 (복사 — copy, riding frozen) = copy the text, 이미지와 텍스트 (이미지 riding frozen) = image and text, the web designer's two 
m103	근원	갈등	m95	own-claim	the problem — the phrase the report reaches for when 원인 (M86) is not deep enough; 갈등의 근원 (갈등 — conflict, riding frozen) = the source of the conflict; 
m103	등장	장면	m48	own-claim	nce. 첫 등장 (M46's 첫) = a debut appearance; 등장과 함께 (M29's 함께) = with the arrival of; 등장 장면 (장면 — a scene, riding frozen) = the entrance scene. Sort, as 
